DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
23-03-2016,80.5,80.5,78.4,79,99183,1371
22-03-2016,82,83,79.3,79.95,197221,2543
21-03-2016,79.5,80.4,78.4,79.1,78799,1518
18-03-2016,78.1,82,77,79.2,264325,4304
17-03-2016,79,81.5,77.7,78.1,244979,4083
16-03-2016,77.5,77.8,75.4,75.9,67077,1094
15-03-2016,78.1,78.8,76.45,76.85,111981,1716
14-03-2016,80.6,80.8,77.4,77.95,98599,1785
11-03-2016,80.05,81.5,79,79.45,102395,1953
10-03-2016,80.15,82.5,79,79.5,132181,2210
09-03-2016,80.55,81,78.5,79.9,109932,1979
08-03-2016,81.65,83.4,80,80.45,124072,1846
04-03-2016,80,83.85,79.1,81.25,171717,3034
03-03-2016,81.2,81.8,78.5,80.25,173243,2985
02-03-2016,75.5,82.7,75.5,80.4,354478,4738
01-03-2016,73.95,74.9,73.15,74.25,98000,1423
29-02-2016,73.1,76.6,71.4,72.9,183714,3173
26-02-2016,74.7,75.7,72.6,73,78761,1699
25-02-2016,74.4,78.3,72,74.1,192715,3242
24-02-2016,77.7,80.4,73.2,73.8,257532,4448
23-02-2016,83.6,83.6,80,80.4,73842,1368
22-02-2016,84.8,85,82.2,82.9,102836,2048
19-02-2016,85.2,88,82.2,83,129185,2678
18-02-2016,90.4,91.6,84.7,85.5,168619,2775
17-02-2016,91.5,93,88.9,89.8,162209,2814
16-02-2016,93,94.1,89.1,90.4,263435,5162
15-02-2016,78,100.4,76.7,90.3,1029221,15326
12-02-2016,93.5,95.9,86.5,90,122242,2270
11-02-2016,101.7,104,92.6,94.1,316532,4862
09-02-2016,100.1,105.2,98.7,100.1,138458,2351
08-02-2016,97,105.4,96,101.3,217464,4459
05-02-2016,97,98.8,95.8,96.9,80494,1244
04-02-2016,97.4,98.8,95,96.2,83318,1412
03-02-2016,99,99,94.5,95.7,62113,1132
02-02-2016,103.1,103.1,98.3,99,87695,1459
01-02-2016,105.6,105.9,101.1,102.3,145484,2517
29-01-2016,101.9,111,101.9,105,492805,8275
28-01-2016,98.2,98.2,95.8,96.3,48571,755
27-01-2016,99.7,99.7,97.4,98.2,34873,701
22-01-2016,95.9,98,94.2,96.5,87963,1698
21-01-2016,97.9,100.7,93,93.6,162722,3026
20-01-2016,102,102,94.5,96,107280,1612
19-01-2016,102.1,105.8,101,102.5,72940,1786
18-01-2016,100.8,110,97.7,101.6,239817,4771
15-01-2016,106.1,107.2,100.1,100.9,93742,1626
14-01-2016,105.6,107.1,104,104.9,88284,1407
13-01-2016,116.6,117.3,105.1,108.2,169064,2340
12-01-2016,116.4,118.1,114.2,114.9,47339,810
07-01-2016,116,118.5,114,114.5,90766,1438
06-01-2016,124.2,126.8,118.1,118.8,152354,2368
05-01-2016,125.6,129.8,123.1,124.2,209969,3072
04-01-2016,124.8,128.4,123.1,124.2,160606,2248
01-01-2016,116.3,130.6,116.3,124.6,559451,9024
31-12-2015,117.9,119.3,115.2,116.2,102306,1531
30-12-2015,119.9,120.8,117.1,117.6,107005,1836
29-12-2015,119.5,121,118,119,188511,2569
28-12-2015,117.3,121.4,117.3,118.9,177376,3084
23-12-2015,124.4,125.5,119.5,120.4,171632,3105
21-12-2015,122.8,126.4,121.3,122.5,393626,6003
18-12-2015,126,128,122.1,122.9,177298,3201
17-12-2015,125.8,129.7,124.1,127.1,265584,5367
16-12-2015,133.1,133.1,123.6,124.9,496230,9130
15-12-2015,121.95,134.3,121.9,131.35,1391854,22078
14-12-2015,99.05,119.5,98.8,119.5,971448,10561
11-12-2015,102.2,102.2,99.15,99.6,40071,982
10-12-2015,102.25,102.25,99.7,100.5,54518,894
09-12-2015,98.5,103.7,97,100.45,134922,2473
08-12-2015,101.95,102.1,99.1,99.6,34774,609
07-12-2015,102.65,103.25,101.5,102.15,24472,472
04-12-2015,102.25,103.75,101.7,101.95,29776,609
03-12-2015,102.3,105.15,102,103.1,77781,1279
02-12-2015,103.5,104,102.35,103,38857,776
01-12-2015,102.75,105.2,102,102.95,72270,1300
30-11-2015,101.5,104.25,100.7,102.85,97202,1469
26-11-2015,101.55,102.4,101,101.55,29084,646
24-11-2015,101.5,102.9,100.8,101.55,47651,765
23-11-2015,104.1,104.1,101.1,101.45,35244,589
20-11-2015,102.4,104.75,100.7,102.05,113435,1842
19-11-2015,102,103,99,100.1,45767,1062
18-11-2015,103.3,104.9,101.6,101.75,55245,1109
17-11-2015,102.6,106,102.4,103.25,100755,2013
16-11-2015,100,105,98.45,102.8,112934,2266
13-11-2015,102,102,99,99.95,36499,876
11-11-2015,103.25,103.7,102.2,102.85,14164,212
10-11-2015,101.9,105.75,99,101.95,204597,3369
09-11-2015,98.2,98.9,95.45,98.3,46976,1068
06-11-2015,104,104,100,100.35,53149,1126
05-11-2015,108.6,109.45,103.3,103.75,65355,1391
04-11-2015,111,111.7,108,108.4,53723,972
03-11-2015,111.3,113.4,110.2,110.9,61091,1225
02-11-2015,112,112.95,109.7,110.45,43490,917
